GeneSymbol,log2FC_db_dw,pvalue,alias,Entrez
LOC100911664,0.53927714,6.60E-08,,100911664
CMPK2,-0.8952171,6.66E-08,Tyki,314004
PRKG2,1.1620419,7.14E-08,GDPKII|cGKII,25523
CDCA7L,0.7639772,7.14E-08,,619566
MAF1,-0.6388791,7.44E-08,,315093
GFPT2,-1.1508073,8.02E-08,,360518
CAPN2,0.5824006,8.33E-08,,29154
FBXO16,-1.0601866,8.40E-08,,305970
TMEM185B,0.64008254,8.72E-08,RGD1309602,304731
RHOV,-1.5801151,9.32E-08,Arhv|Chp,171581
TRAFD1,-0.48449132,9.58E-08,Fln29,114635
IER2,1.325633,9.85E-08,,494344
SEC16B,1.8399274,1.10E-07,Lztr2|Rgpr,89868
INHA,-0.918004,1.12E-07,,24504
LOXL2,1.6070518,1.12E-07,,290350
AK4,1.0069963,1.17E-07,AK,29223
PFKFB3,1.393767,1.17E-07,,117276
R3HDM1,1.0576135,1.18E-07,R3hdm,304763
SPSB1,1.363512,1.19E-07,RGD1309319,313722
ARSJ,1.7609345,1.21E-07,RGD1307640,311013
STT3B,0.8318333,1.27E-07,RGD1311563,363160
LRRN1,-0.65649915,1.29E-07,,500280
NYAP1,-0.97091067,1.33E-07,RGD1310964,304376
SDCCAG8,-0.66369975,1.33E-07,,305002
EIF3B,0.49294233,1.33E-07,Eif3s9,288516
ZC3H18,0.51839393,1.35E-07,Nhn1,292067
SEMA3D,1.1440028,1.39E-07,,246262
MAN1C1,1.0923942,1.43E-07,,362625
UTP4,0.62835366,1.46E-07,Cirh1a|Cirhin|Naic|Teg-292|,291987
IL34,-1.3838671,1.49E-07,,498951
PCDH19,-0.9742993,1.51E-07,RGD1565392,317183
GPR50,2.0853536,1.51E-07,H9,117097
GMEB1,0.9823674,1.53E-07,RGD1563208,500558
FHL2,0.9380043,1.53E-07,,63839
CUBN,2.0080068,1.71E-07,GP280|IFCR|MGA1,80848
KIF27,-1.0214224,1.71E-07,Krp5,246209
SPATA5,0.7741053,1.71E-07,,361935
MTHFD2,0.72602046,1.71E-07,,680308
PLEKHG5,1.1178672,1.75E-07,Tech,310999
FAM214A,-0.65628093,1.77E-07,RGD1310552,300836
GCK,-2.0055048,1.81E-07,GLUKA|RNGK2,24385
KDSR,-0.7911181,1.81E-07,Fvt1,360833
WASH1,-0.5980873,1.84E-07,ORF19|Wash|Wash2,367328
EXTL2,-0.638926,1.94E-07,,310803
NUDT6,1.2347888,1.98E-07,Gfg,207120
THBD,1.3691242,2.02E-07,,83580
FRS3,-1.0738213,2.04E-07,,316213
PPAN,0.7546475,2.14E-07,,298699
PSEN2,-0.95383596,2.16E-07,,81751
TAF12,0.7070982,2.20E-07,,682902
PIEZO1,1.3669088,2.22E-07,Fam38a|Mib,361430
POLR1B,0.85832816,2.26E-07,RPA2|Rpo1-2,83582
JAK1,0.6872115,2.32E-07,,84598
ST8SIA5,1.5325679,2.32E-07,SIAT8E,364901
HEATR1,0.97933376,2.34E-07,Heatr1,103689953
NIPSNAP1,-0.55160445,2.35E-07,,360971
DIAPH1,0.7853345,2.44E-07,Diap1,307483
BID,-0.71934384,2.61E-07,,64625
SHROOM4,1.8252568,2.68E-07,RGD1563434,317391
CAMKK1,0.8717963,2.94E-07,,60341
GPR4,1.6370957,2.95E-07,,308408
COL5A1,1.3160245,3.08E-07,,85490
CISH,-1.1958967,3.11E-07,Cis,83681
WISP1,1.8965559,3.13E-07,,65154
SPIRE1,0.5689147,3.20E-07,,307348
DCLK1,0.74735874,3.34E-07,Ania4|Cpg16|Dcamkl1,83825
KCNMB4,-0.9178091,3.37E-07,,66016
MCM5,0.86161107,3.38E-07,,291885
FAM189B,-0.7885296,3.38E-07,RGD1306107,310640
PDE6D,-0.7544312,3.39E-07,,363272
NFE2L3,-1.3880478,3.41E-07,,312331
RBM11,-1.686274,3.45E-07,,288321
GPR3,1.6430944,3.48E-07,Gpcr3,266769
CTPS2,-0.5169076,3.54E-07,,619580
SEMA4A,-1.0655426,3.60E-07,,310630
TMEM182,1.8668323,3.73E-07,RGD1563696,501129
SH3BP5,-0.78393334,3.89E-07,SH3BP-5|Sab|Vesp18,117186
ANO1,1.9408473,3.91E-07,Tmem16a,309135
MAGEE2,-1.1971086,3.91E-07,RGD1564872,302392
PHACTR1,-0.4929978,3.94E-07,,306844
CRY1,0.66173536,4.20E-07,,299691
BBX,1.1857326,4.25E-07,,303970
EXOC5,0.6701291,4.31E-07,Sec10l1,60627
LIPG,0.99999833,4.38E-07,lipase,291437
TUBA8,1.4122529,4.45E-07,,500377
RASIP1,-0.8784184,4.49E-07,,292912
PHACTR3,-0.74370235,4.52E-07,Scapin1|scapinin,362284
MORN4,-0.7344535,4.60E-07,RGD1307336,293950
GINS2,0.9516325,4.76E-07,RGD1311055,292058
TEC,1.0602809,4.79E-07,,84492
LIX1,-0.71060413,4.83E-07,,292381
PCGF2,-0.76668996,5.66E-07,Rnf110,287662
ARIH1,0.778141,5.85E-07,,300756
ABCG1,-0.99028426,5.87E-07,Abc8,85264
RXFP3,1.8421255,6.14E-07,GPCR135|RGD1311550|Rln3,294807
KCNJ14,0.88561434,6.25E-07,Kir2.4,276720
PAK1IP1,0.8685161,6.37E-07,,361232
FGF3,1.916067,6.37E-07,Int2,170633
RPP38,0.7958621,6.46E-07,,291317
MYADML2,-1.8337954,6.52E-07,RGD1311499,303744
USP46,-0.5572835,6.76E-07,RGD1564808,289584
NOG,1.203545,6.77E-07,,25495
FAM107B,0.8400705,6.98E-07,,498796
NETO2,0.7171609,7.04E-07,,307757
CHST12,-0.99370766,7.57E-07,,304322
RAB33A,-1.1109589,7.82E-07,RGD1563280,317580
RNF182,-1.174699,8.11E-07,RGD1560399,498726
SMTNL2,-1.0423588,8.31E-07,,679629
SFMBT1,0.7640687,8.31E-07,Sfmbt,58967
DOT1L,1.225937,8.76E-07,,362831
DHX40,-0.69222575,8.81E-07,,287595
NOL10,0.62870246,9.12E-07,,313981
PHLDA1,1.0072471,9.22E-07,Tdag,29380
TYRO3,0.7946464,9.49E-07,Brt,25232
EBF3,1.7820029,9.59E-07,,361668
AGBL5,-0.7093159,9.90E-07,,362710
NEUROD1,-1.4374832,9.93E-07,,29458
MUM1,-0.8432682,1.11E-06,,362838
HEPHL1,2.001065,1.14E-06,RGD1564835,500946
RHBDD3,-0.65523726,1.19E-06,RGD1311827,289753
PM20D2,-0.5811111,1.20E-06,Acy1l2,313130
MFSD6,-0.62734413,1.21E-06,RGD1562317,301388
TRIM23,-0.6204789,1.21E-06,Ard1|Arfd1,81002
DLEU7,-1.3473,1.24E-06,RGD1305071,290308
PAK6,0.85644025,1.27E-06,,296078
RHBDF2,-1.5396582,1.28E-06,Rhbdl6,303690
DMTN,-0.46067888,1.31E-06,Epb4.9|Epb49,361069
TMEM169,-0.63025296,1.32E-06,,690294
SV2B,-1.1675445,1.33E-06,,117556
FURIN,0.85177886,1.40E-06,Pace|Pcsk3,54281
CACNB1,0.829659,1.48E-06,,50688
ACKR3,-0.89520156,1.50E-06,Cmkor1|Cxcr7|Rdc1,84348
GPR88,0.56655765,1.55E-06,,64443
ZDHHC14,1.0382525,1.59E-06,Dhhc14,499014
KMT2E,-0.5801543,1.67E-06,Mll5,311968
FDFT1,-0.5545826,1.74E-06,,29580
S100A10,0.73875827,1.77E-06,p11,81778
APOLD1,1.394856,1.77E-06,Verge,444983
KCNH4,-1.2192159,1.78E-06,Bec2,114032
LRSAM1,-0.7647853,1.81E-06,RGD1564403,311866
KLHL23,-0.50264704,1.82E-06,RGD1307166,311114
TAC1,1.7067176,1.82E-06,PPTA3|Ppt5fl|RATPPTA3|TA,24806
SLC30A3,1.1141921,1.84E-06,ZnT3,366568
RIN1,1.6419429,1.84E-06,,207119
ACTR3B,-0.59213006,1.90E-06,RGD1565759,362298
CTRB1,1.2300013,1.91E-06,Ctrb,24291
OPRL1,-0.82617456,1.97E-06,KOR-3|KOR3|LC132|MOR-C|,29256
FYTTD1,0.55285794,1.99E-06,Ac1176|RGD1306899,360726
JAK2,0.8380113,1.99E-06,,24514
ANKS1B,0.6663737,2.02E-06,AIDA-1|EB-1|RGD1565556,314721
HP1BP3,-0.42026517,2.03E-06,,313647
HSF1,0.59237087,2.05E-06,,79245
WDR45B,0.736058,2.07E-06,RGD1305141|WIPI-3|Wdr45l,360682
RAB30,-0.98914146,2.08E-06,Rsb30,308821
FLRT1,1.3457637,2.08E-06,RGD1565152,499308
MRTO4,0.5574501,2.12E-06,RGD1311709,298586
GRM1,-1.2940531,2.16E-06,Gprc1a,24414
PTGER4,1.7010512,2.17E-06,EP4|Ptger|Ptgerep4,84023
SH2B2,-0.9922354,2.18E-06,Aps,114203
NUAK1,-1.0095615,2.19E-06,RGD1309956,299694
NOP56,0.6859545,2.21E-06,Nol5a,362214
C1S,0.96534324,2.28E-06,r-gsp,192262
ANKRD34A,-0.8755667,2.31E-06,Ankrd34|RGD1308412,295283
UBE2G2,0.7997212,2.34E-06,,294331
ACVR1C,1.5148302,2.40E-06,Alk-7|Alk7|habrec1,245921
P2RY14,1.9522917,2.41E-06,Gpr105,171108
EZH1,-0.90584284,2.46E-06,,303547
CD59,-0.5351856,2.66E-06,Cd59a|Cd59b|MAC-IP|MACI,25407
RGD1305537,0.8518127,2.66E-06,,363528
MXD4,-0.6188515,2.75E-06,,360961
RWDD2A,-1.2374972,2.75E-06,Rwdd2,363110
LEF1,1.3694166,2.80E-06,,161452
MAP7D1,0.87675613,3.05E-06,Mtap7d1,681287
GPR22,0.5187866,3.07E-06,,298944
MLLT3,0.5354938,3.07E-06,Af-9|Af9,114510
GRM6,-1.2690232,3.12E-06,mGluR6,24419
MED15,0.88584226,3.17E-06,Pcqap,360743
TRMT61A,0.90787005,3.18E-06,Gcd14|RGD1359191|Trm61,314462
PNRC1,-1.1859689,3.19E-06,Prol2,286988
TRIM24,0.5507146,3.20E-06,,500084
RYK,0.48857123,3.21E-06,,140585
CCDC184,-0.8354163,3.21E-06,,500925
PNPLA3,0.5412728,3.25E-06,Adpn,362972
DDX3X,0.61162984,3.26E-06,,317335
CBX8,-0.77355605,3.33E-06,,303731
AMOTL2,-0.72246194,3.36E-06,Lccp,65157
MUSTN1,1.5033047,3.40E-06,Mustang,290553
SMR3B,1.9007351,3.43E-06,Arp|P2-VA1|RATSMR1A|Smr,24867
PPP4R1,0.5003029,3.52E-06,Pp4r1,140943
WIPI2,0.59669757,3.53E-06,,288498
CHRNA5,-1.0467976,3.57E-06,,25102
SEMA4G,-0.8667875,3.59E-06,,361764
ANKRD6,-0.76407593,3.61E-06,,500430
STK40,0.6637745,3.61E-06,Lyk4|RGD1307310,360230
PSD2,-0.88123,3.78E-06,,307500
PTK2,0.50821215,3.91E-06,FAK|FRNK|p125FAK,25614
ADAMTS1,1.6356838,3.93E-06,,79252
TMEM2,0.9436111,3.98E-06,,309400
CAMK1G,0.65445167,4.01E-06,,171358
DUSP23,-1.3225392,4.08E-06,,360881
SLC6A15,-0.55569607,4.13E-06,Ntt73,282712
EVA1A,1.090327,4.15E-06,Fam176a|RGD1559797|Tme,500221
FLOT2,-0.824491,4.20E-06,,83764
UCK2,0.7105085,4.28E-06,Umpk,304944
RCAN2,0.67361695,4.29E-06,Dcip2|Dscr1l1|Zaki-4,140666
SLC17A5,-0.5625441,4.46E-06,,363103
GLRB,-0.499963,4.53E-06,,25456
POLG,1.0007834,4.56E-06,,85472
KY,-1.4094783,4.59E-06,,315962
LRRC28,-0.76801777,4.67E-06,,361588
KLHL7,-0.6506814,4.74E-06,,362303
SNAP47,-0.87896234,4.74E-06,RGD735194|SNAP-47,303183
42984,-0.6011752,4.76E-06,,691335
CHODL,-1.4929341,4.78E-06,,288289
RGD1560108,-0.43833774,4.79E-06,,499309
EDRF1,0.54816943,4.90E-06,RGD1306820,309069
CNTFR,0.72213113,4.95E-06,,313173
LAMB3,1.7776339,5.01E-06,,305078
HS6ST1,0.5523936,5.03E-06,,316325
PKD2,0.824576,5.14E-06,RGD1559992|Trpp2,498328
CTBP2,0.5165653,5.20E-06,,81717
POP1,0.5550531,5.20E-06,,315045
ARHGAP17,0.8164248,5.39E-06,Rich1,63994
KLF2,1.3385966,5.52E-06,Lklf,306330
SEMA4F,-0.8862101,5.93E-06,,29745
CDT1,0.92074645,6.04E-06,Ris2,292071
CD200,-0.64339024,6.06E-06,Cspmo2|MRCOX2|Mox2,24560
SIDT1,-0.6057637,6.46E-06,,288109
SIGMAR1,0.45852426,6.50E-06,Oprs1,29336
GPR165,-1.2783878,6.53E-06,RGD1564566,296866
ADGRB3,-0.7330781,6.67E-06,Bai3,301309
THAP3,-0.98641676,6.70E-06,RGD1308109,362667
MBNL2,-0.6090734,7.04E-06,,680445
SERPINE1,1.582575,7.13E-06,PAI1A|Pai1|Pai1aa|Planh|RA,24617
GBX1,1.7539651,7.19E-06,,246149
ZFP746,0.50782764,7.19E-06,RGD1306209|Znf746,312303
GABRA1,-0.7911423,7.22E-06,,29705
DIP2C,1.0089853,7.51E-06,RGD1560155,307067
PPP2R2B,-0.44699788,7.90E-06,Pppr2b2,60660
ARHGAP20,-1.062759,7.97E-06,RARhoGAP,367085
GPR6,-1.4827788,8.05E-06,,83683
GMEB2,1.0013711,8.15E-06,,83635
PINX1,0.8684557,8.17E-06,RGD1566025,305963
ROCK2,0.7401482,8.20E-06,ROCK-II|ROK,25537
HMGA2,1.7194638,8.42E-06,Hmgic,84017
DDX20,0.65328026,8.54E-06,Dp103,84473
LOC682102,-0.9888662,8.75E-06,,682102
RND3,0.6508618,9.11E-06,Arhe|RHOE,295588
AIPL1,1.7215822,9.75E-06,,59110
PRSS35,1.2670162,9.79E-06,,315866
RXRB,-0.709745,1.02E-05,RXR-beta,361801
IFT88,-0.60537183,1.02E-05,Ttc10,305918
TOR1B,0.5286337,1.02E-05,,311854
RNF39,0.929221,1.02E-05,Hzfw1|Lirf,171387
LRRC17,0.96172076,1.03E-05,,502715
TMEM143,-0.8737467,1.03E-05,RGD1305013,308593
SH3GL1,0.6641487,1.05E-05,SH3P8,81922
GNAI1,0.4840802,1.07E-05,BPGTPB,25686
AHI1,0.7709468,1.11E-05,Ahi-1,308923
CRLF3,0.7767652,1.12E-05,Cytor4,54395
REEP1,-0.51963574,1.12E-05,RGD1305230,362384
LRRC56,-0.7891569,1.13E-05,RGD1311654,365389
CALCOCO1,-0.6872678,1.13E-05,,246047
ARHGEF9,0.41439357,1.13E-05,,66013
GFOD1,1.3111984,1.13E-05,,306842
DDIT3,1.1716156,1.13E-05,CHOP|CHOP-10|Chop10|Gad,29467
AEN,0.58869857,1.14E-05,Isg20l1|RGD1305051,361594
SUOX,-0.5694383,1.15E-05,,81805
ETF1,0.7109775,1.15E-05,,307503
SLAIN2,0.45768374,1.17E-05,RGD1311593,305310
GPC2,-0.5883749,1.19E-05,,171517
MNT,-0.8582651,1.21E-05,,287521
KLHL36,-0.8790037,1.22E-05,,498957
GTPBP4,1.0413588,1.22E-05,Crfg|RGD1563564,114300
PLK3,0.5974189,1.25E-05,Cnk|Fnk,58936
ACSL3,0.60574263,1.27E-05,Acs3|Facl3,114024
CHST8,0.5964559,1.27E-05,,308511
DISC1,1.3237586,1.28E-05,,307940
FBN2,1.3433425,1.30E-05,,689008
SKP2,0.5353479,1.30E-05,RGD1562456,294790
USP16,0.87004346,1.32E-05,,288306
FAM65B,0.9654181,1.32E-05,Ab2-162|RGD1306939,306934
FZD1,-0.8275878,1.33E-05,,58868
UST,1.0437173,1.34E-05,,361450
AGFG1,0.48620692,1.34E-05,,363266
ADRA1A,1.5817711,1.34E-05,Adra1c,29412
APC2,-0.98123884,1.36E-05,,299611
ZFP786,-0.7909573,1.41E-05,,100158223
RGS12,-0.6019134,1.41E-05,,54292
SRPK1,0.5421408,1.42E-05,,361811
PNOC,1.4730601,1.42E-05,N23K|Npnc1,25516
JADE3,1.0835265,1.43E-05,RGD1563945,299305
GPR85,-0.59075433,1.43E-05,Srep2,64020
SCN3B,-0.73834014,1.48E-05,Scnb3,245956
MYO9B,0.7637376,1.48E-05,,25486
SMPD3,-0.6857319,1.49E-05,cca1,94338
GPR139,-1.578461,1.50E-05,,293545
DOCK8,1.2737018,1.55E-05,,499337
KBTBD8,0.83205956,1.59E-05,RGD1563166,500262
FAM98A,0.43262425,1.65E-05,RGD1305486,313873
QPCT,-0.9462288,1.66E-05,Qpctl1|RGD1562284,313837
RAP1B,0.7506237,1.66E-05,,171337
RGD1359127,0.82780486,1.69E-05,,299612
LOC314140,0.6524896,1.70E-05,,314140
LGI1,-1.0688856,1.70E-05,,252892
ADORA2A,-1.735874,1.75E-05,A2ar|ADENO|Adora2l1,25369
DES,1.4596198,1.75E-05,,64362
FAM185A,0.63159645,1.78E-05,RGD1562135,499979
IQSEC3,0.91643864,1.78E-05,sag,404781
GRPEL2,0.7165067,1.81E-05,Afap1l1,688777
CDR2,0.5496149,1.81E-05,RGD1310578,308958
TDRD7,0.48013663,1.84E-05,Pctaire2bp,85425
QTRT2,0.6236451,1.88E-05,Qtrtd1,288364
SPTSSB,-1.2580304,1.89E-05,,100362555
WBSCR22,0.64965624,1.89E-05,,368084
STRADB,-0.4698745,1.90E-05,Als2cr2|RGD1559449,501146
TAF1C,0.68430364,1.90E-05,,361420
FAM110D,-1.0217975,1.93E-05,Grrp1|RGD1564994,500563
CEP70,-0.81666386,1.93E-05,,367153
ARHGEF28,-0.7162797,1.96E-05,Rgnef,361882
CLN8,-0.578793,1.97E-05,,306619
CDC14A,1.0829693,1.97E-05,,310806
TOX3,-0.69983387,2.04E-05,Tnrc9,291908
UTP20,0.86299187,2.14E-05,RGD1560606,314713
BTBD10,0.4444746,2.15E-05,RGD1306301,308890
MB21D2,-0.5345009,2.21E-05,RGD1559643,498100
RGD1306227,-0.7342393,2.21E-05,,310377
FYN,0.42917925,2.24E-05,,25150
SPIRE2,-0.7114268,2.24E-05,,307925
USP7,0.71191597,2.34E-05,Hausp,360471
TRIQK,-0.8763315,2.35E-05,,500413
GPR52,-1.0711756,2.39E-05,,684623
POLL,-0.72658974,2.41E-05,,361767
EAF1,0.6044422,2.41E-05,,306261
MAT2B,-0.71800137,2.59E-05,,683630
APLP2,0.4543415,2.60E-05,APLP-2|Apph|WALPLP2,64312
HOMER2,0.74575526,2.72E-05,Vesl-2,29547
CCNF,0.7937148,2.72E-05,,117524
CCDC28A,-1.1651317,2.75E-05,RGD1310326,361454
CARF,-0.8988426,2.77E-05,Als2cr8,301446
CSNK2A2,0.50321984,2.78E-05,,307641
ING4,-0.56335753,2.79E-05,,297597
RAB20,1.3043,2.80E-05,,689377
CD63,0.48863277,2.87E-05,,29186
ZFP90,-0.8119344,2.88E-05,,498945
KL,1.7558788,2.90E-05,,83504
NOC3L,0.7142255,2.90E-05,RGD1560656,361753
SYTL5,1.532306,2.90E-05,,302538
USP36,0.6773198,2.91E-05,,303700
EPHA3,-1.1606913,2.95E-05,,29210
LRFN5,-0.6818887,2.95E-05,,314164
TMEM25,-0.8241418,2.97E-05,,689172
ZFYVE9,0.61857194,2.99E-05,,313477
GCLC,0.66398966,3.03E-05,Glclc,25283
PAK7,-0.50225145,3.05E-05,PAK-5|PAK-7,311450
AKIRIN1,0.4189056,3.07E-05,,595134
DGKA,0.7506357,3.07E-05,Dagk1,140866
ST3GAL3,-0.68850714,3.15E-05,Siat6,64445
IGSF8,-0.7526169,3.16E-05,,304979
NR4A1,0.8427543,3.23E-05,HMR|Ngfi-b|Nur77,79240
PDE8A,1.5737009,3.23E-05,RNPDE8A,308776
PLAA,0.5160917,3.25E-05,PLA2P|Plap,116645
GOLGB1,-0.776303,3.28E-05,,192243
FNDC3B,1.1798513,3.28E-05,RGD1311673,294925
TRMT10C,0.54266685,3.33E-05,Rg9mtd1,304012
LMO7,-0.53625363,3.35E-05,,361084
ZFP180,0.539561,3.35E-05,rKr1,246279
NSUN2,0.41097412,3.38E-05,RGD1311954,361191
CPNE4,-0.5717217,3.45E-05,,367160
PLEKHA3,0.5255029,3.53E-05,,295674
SNTG2,-1.1350543,3.58E-05,,298936
PLPP6,-0.62889516,3.58E-05,Ppapdc2,619549
SLC30A4,0.54896474,3.58E-05,,64469
PUS3,0.74455327,3.64E-05,RGD1310757,315554
LOC100125362,0.5085785,3.65E-05,,100125362
AUH,-0.6037643,3.67E-05,,361215
DIO3,1.3018848,3.67E-05,5DIII|DIOIII,29475
LPL,-0.6849811,3.69E-05,,24539
ABI1,0.47359344,3.74E-05,E3b1,79249
LRRC20,-0.63568723,3.79E-05,RGD1566140,499430
ZFP217,1.2785103,3.79E-05,Znf217,311764
SPTBN4,0.690293,3.86E-05,Spnb4,308458
PXDC1,0.7435586,3.88E-05,RGD1311307,361238
ZBTB2,0.50025356,3.90E-05,,308126
LZIC,-0.4655248,3.93E-05,,366507
ARRDC4,-1.01276,3.93E-05,Ab1-209|LRRG00117,293019
FHDC1,0.9313067,3.99E-05,RGD1311955,295161
MFAP3L,1.1268398,4.04E-05,,306424
DLG1,0.9289756,4.09E-05,Dlgh1|SAP97,25252
GPRC5C,-1.4309026,4.09E-05,,287805
STOML1,-0.912747,4.12E-05,RGD1559463,300748
CDC6,0.76084006,4.13E-05,,360621
MAML3,1.4926767,4.14E-05,Glrp1,310405
MICU3,0.52570915,4.16E-05,Efha2,364601
CSNK1A1,0.44439343,4.18E-05,,113927
PIANP,-0.7880445,4.18E-05,PANP|RGD1304952|leda-1,312711
TARS,0.61816424,4.22E-05,,294810
PAPPA,1.6625159,4.26E-05,,313262
SNX9,0.6418308,4.33E-05,,683687
GMPS,0.5733719,4.34E-05,,295088
HSPA1B,1.301831,4.35E-05,HSP70.2|Hsp70-1|Hsp70-2|H,294254
FFAR4,1.700831,4.36E-05,Gpr120|O3far1,294075
PDE4C,1.7066025,4.45E-05,Dpde1,290646
RYBP,0.52183354,4.59E-05,,312603
GPR63,1.2530905,4.71E-05,,297952
GSPT1,0.6912279,4.78E-05,,24420
MAPK15,-1.170575,4.78E-05,Erk7,286997
CNTN2,-1.07381,4.82E-05,TAG-1|TAG-564|TAG1|Tax,25356
NFX1,0.3948233,4.82E-05,,313166
KCNJ12,0.87608784,4.89E-05,IRK2|Kir2.1|Kir2.2,117052
NOLC1,0.45543104,4.90E-05,Nopp140,64896
AFTPH,0.57212704,4.90E-05,RGD1311920,305544
CUX2,-0.9501184,4.99E-05,Cutl2,288665
CHST7,0.7684695,5.02E-05,Gn6st-4,302302
CDH17,1.6838155,5.18E-05,,117048
TBC1D17,-0.6419177,5.20E-05,,292886
ITM2C,-0.7251217,5.24E-05,,301575
GSPT2,0.48441496,5.29E-05,RGD1563213,501582
CDK13,0.6838744,5.43E-05,Cdc2l5,306998
SRD5A1,-0.5419333,5.63E-05,S5AR,24950
LOC688459,1.670172,5.78E-05,,688459
KPNA4,0.6832937,5.95E-05,importin,361959
SLC35E3,0.3921884,5.99E-05,RGD1564876,362883
RABGEF1,0.44292256,6.03E-05,,360797
TTC8,-0.66576236,6.14E-05,,299246
PGAM1,0.51403296,6.19E-05,PGAM-B|Pgmut,24642
LPCAT2,0.8675699,6.19E-05,LPCAT-2|RGD1563994,100359680
LSS,0.47092003,6.24E-05,,81681
DNAJC12,-0.8063608,6.25E-05,Jdp1,619393
MIOS,0.52154845,6.26E-05,RGD1308432,362324
NUTM1,1.1681896,6.33E-05,Nut|RGD1564529,366153
VWC2L,-1.4620417,6.33E-05,RGD1565501,501160
ADAMTS5,1.2069982,6.36E-05,,304135
ZBTB5,-0.68663055,6.41E-05,,298084
COBL,-0.50902236,6.44E-05,,305497
EPHB6,-0.86060816,6.53E-05,,312275
MFSD9,-0.6942437,6.59E-05,RGD1562212,316356
TTC9,0.6224589,6.69E-05,RGD1565985,500689
IL17RA,0.61163193,6.82E-05,Il17r,312679
MAFK,-0.61563605,7.17E-05,,246760
RNF150,0.78642243,7.18E-05,RGD1304572,364983
ZFAND5,0.5366909,7.23E-05,Zfp216,293960
PDIK1L,-0.41942006,7.28E-05,RGD1307476|Stk35l2,313609
HAS1,1.446656,7.31E-05,,282821
FAM118A,-0.7019109,7.37E-05,RGD1560783,300120
CX3CL1,0.60973,7.42E-05,Cx3c|Scyd1,89808
CUL9,-0.67350787,7.45E-05,Parc|RGD1562008,316228
EIF4A1,0.7466136,7.47E-05,,287436
MMS22L,0.6067737,7.50E-05,RGD1304693,313108
PNCK,-0.8705656,7.59E-05,Camk1b,29660
CHRM2,1.338223,7.59E-05,Acm2,81645
ARRB2,-0.75203335,7.63E-05,BARRES,25388
UHRF1BP1L,0.48176548,7.63E-05,,363009
42987,0.5782184,7.70E-05,Eseptin|Msf|Slpa,83788
BAD,-0.535574,7.98E-05,,64639
ACTN4,0.5552806,8.00E-05,,63836
MTMR14,-0.68917155,8.07E-05,RGD1304842,312634
TEF,-0.535716,8.07E-05,,29362
SYK,0.8088468,8.11E-05,p72syk,25155
BBC3,-0.8880315,8.11E-05,Puma,317673
TMEM53,-0.9829783,8.27E-05,RGD1307066,313529
TOR4A,1.0359523,8.44E-05,RGD1308019,311795
CLIP2,-0.5369201,8.51E-05,CLIP-115|Cyln2,29264
XKR8,0.7255713,8.53E-05,RGD1305649|XRG8,313033
EPDR1,0.46413752,8.55E-05,Epdr2|MERP2,291180
DIRAS1,-0.8976908,8.84E-05,,366826
IFNGR2,-0.4437649,8.88E-05,,360697
PRKAR1A,0.49870515,8.98E-05,RIIA,25725
KLHL14,-1.0380788,9.21E-05,RGD1566178,364823
DDX18,0.685768,9.26E-05,MrDb,308490
OTUD3,0.9555002,9.28E-05,RGD1560468,500572
ARID3C,1.5952957,9.28E-05,RGD1560943,502946
MAST1,-0.60119736,9.42E-05,Sast,353118
CIRBP,-0.72022355,9.57E-05,,81825
ARF6,0.44755846,9.57E-05,,79121
ZHX1,-0.44386098,9.62E-05,,171159
DDAH2,-0.56704617,9.77E-05,,294239
ARG2,0.5525799,1.01E-04,,29215
EPB41L4B,1.0035497,1.02E-04,RGD1562988,500464
UNC119,-0.6921164,1.03E-04,RRG4|Uncl19,29402
AMIGO2,-0.78318065,1.03E-04,Ali1,300186
CYS1,-0.99969214,1.03E-04,,690489
POU6F1,0.9946661,1.03E-04,Brn5,116545
VIPAS39,-0.49750003,1.04E-04,Spe39|Vipar|hSPE-39,681989
GDNF,1.6205387,1.07E-04,gndf,25453
MPEG1,-1.1206188,1.09E-04,Mpg-1,64552
PALMD,-0.99204695,1.10E-04,,310811
CXCR4,-0.614934,1.11E-04,,60628
COQ10B,0.5414451,1.11E-04,RGD1359509,301416
LDLRAD4,0.8536135,1.11E-04,,679578
LUZP1,0.72387207,1.11E-04,Luzp,79428
PPRC1,0.7030932,1.13E-04,,294007
MSS51,0.8746994,1.14E-04,Zmynd17,289904
TPPP3,-1.1469681,1.15E-04,CGI-38|RGD1305061,291966
VPS9D1,-0.5139628,1.16E-04,RGD1565149,307923
CTU2,0.70760155,1.16E-04,Ncs2,292069
LYPD1,-0.7614784,1.17E-04,Lypdc1,360838
SPEM1,0.72259897,1.18E-04,,691981
USP28,0.65976477,1.21E-04,,315639
PRR15,1.2841624,1.21E-04,RGD1311589,312358
CEP131,-0.7585036,1.23E-04,Azi1,360672
WFS1,0.7863216,1.23E-04,,83725
PARP16,-0.77560216,1.23E-04,ARTD15|LRRGT00109|RGD13,315760
COX19,-0.611949,1.24E-04,RGD1305631,304330
SLC35F2,-0.8826118,1.25E-04,,300713
LRRC10B,1.3151493,1.25E-04,RGD1564983,309208
STEAP1,1.3752855,1.25E-04,Steap,297738
LMO2,1.2145776,1.26E-04,,362176
BMP6,0.74068916,1.27E-04,VGR,25644
GRIN1,0.56461716,1.36E-04,GluN1|NMDAR1|NR1,24408
