"","OR_cno","Pval_cno","NumSig_cno","adjPval_cno","OR_saline","Pval_saline","NumSig_saline","adjPval_saline","setSize","ID"
"Heart Septal Defects, Ventricular",4.15983243495844,1.12851549855276e-20,74,7.0007327729988e-20,0.33559891791683,0.0515285456792041,3,0.36113650234493,627,"MESH:D006345"
"Dyskinesia, Drug-Induced",4.3958646957891,1.38600232570181e-20,69,8.54834960418398e-20,0.643865015835464,0.455084634188457,5,0.791259039694317,563,"MESH:D004409"
"Neurobehavioral Manifestations",2.21231627609208,1.56011345613614e-20,329,9.56690263044401e-20,0.779498435892743,0.0851396374931038,74,0.429247102970755,6119,"MESH:D019954"
"Leukopenia",2.84602802538557,1.8619834582195e-20,133,1.13527791424012e-19,0.814125511503557,0.43757524969025,19,0.791259039694317,1638,"MESH:D007970"
"Pancreatitis",3.498996280066,1.89641994471096e-20,92,1.14970459148102e-19,0.860182233476447,0.770153988022501,11,0.982897142121309,948,"MESH:D010195"
"Atrioventricular Block",4.57767111111734,2.48224762383253e-20,65,1.4963605732369e-19,0.566863147793248,0.330464530999419,4,0.712696056598455,507,"MESH:D054537"
"Muscle Weakness",3.30485306717839,3.24002995594985e-20,99,1.94219773202162e-19,0.820772390809614,0.584593077709191,12,0.875792063082724,1076,"MESH:D018908"
"Leukemia",3.10980759763332,3.56814797037156e-20,110,2.12693513094215e-19,0.995128006427956,1,17,1,1252,"MESH:D007938"
"Hypocalcemia",4.84420533629033,5.4981465177126e-20,60,3.2591790746663e-19,0.819510918102836,0.835929679568725,5,1,433,"MESH:D006996"
"Diabetes Mellitus",2.62160050067084,6.70630111788236e-20,152,3.95338303468535e-19,0.85879804058142,0.544812287690069,25,0.847156820529608,2101,"MESH:D003920"
"Hallucinations",4.34097145707771,8.12326568042886e-20,67,4.7623760884712e-19,0.658510742741406,0.453693676116775,5,0.791259039694317,558,"MESH:D006212"
"Venous Thrombosis",3.2865258451795,9.76997336451154e-20,97,5.69648173766875e-19,0.6168674807091,0.210243694772027,9,0.603720609640507,1050,"MESH:D020246"
"Drug Eruptions",3.3684632805259,1.12224290870663e-19,93,6.48650880713016e-19,0.663417357076459,0.314654974882403,9,0.695774503282746,1004,"MESH:D003875"
"Nephritis",2.52332094778835,1.12465241735621e-19,164,6.48650880713016e-19,0.814566664482108,0.387318185029993,27,0.744911951208848,2214,"MESH:D009393"
"Liver Neoplasms",2.35660931575045,1.3366933685307e-19,446,7.6680205603347e-19,0.715113051065746,0.0139143735874241,117,0.244065394741195,9709,"MESH:D008113"
"Alzheimer Disease",3.79725941032707,1.37008950268865e-19,78,7.81756951534114e-19,0.908537858630902,1,9,1,722,"MESH:D000544"
"Liver Failure",3.06828799911382,1.39661573880067e-19,108,7.9265371984059e-19,0.62868725406684,0.159528471304698,11,0.540961688292415,1252,"MESH:D017093"
"Kidney Failure, Chronic",3.75748130078644,1.4413519637444e-19,79,8.13715632441944e-19,0.681144256257146,0.415029996183382,7,0.776538024533161,729,"MESH:D007676"
"Micronuclei, Chromosome-Defective",2.17191858425268,1.6636116005772e-19,352,9.34249251482038e-19,0.836566604542012,0.199187134648498,87,0.596496308502395,6882,"MESH:D048629"
"Glioma",3.41420298276136,1.77774377602099e-19,90,9.93116549222197e-19,1.03319396428753,0.883471881464598,13,1,948,"MESH:D005910"
"Hypersensitivity",4.3783727935914,1.8123174483431e-19,65,1.00715766530317e-18,0.686562023136182,0.563770437895176,5,0.855482847962038,570,"MESH:D006967"
"Stomach Ulcer",4.43624798449121,1.86718105191325e-19,64,1.03227056082458e-18,0.853802684912971,0.847405224104752,6,1,533,"MESH:D013276"
"Abdominal Pain",3.08371255623881,2.25384763070718e-19,106,1.23961619688895e-18,0.836747762776937,0.606615966692254,14,0.885765640808154,1195,"MESH:D015746"
"Papilloma",3.64276155539719,2.74816501938122e-19,81,1.50373952598962e-18,0.454210993077101,0.0802175458144289,5,0.412049132848029,798,"MESH:D010212"
"Vision Disorders",3.35609440384387,3.09801462169446e-19,91,1.68652122517755e-18,0.758499483900696,0.471453299610018,10,0.799859675704753,946,"MESH:D014786"
"Glioblastoma",2.98083478955099,3.46935561577043e-19,111,1.87908753402388e-18,0.885701040692956,0.803184189806026,16,0.994870487747324,1304,"MESH:D005909"
"Embryo Loss",2.49485805610767,4.75257509258718e-19,162,2.56110991100532e-18,0.716779972998598,0.148366804102332,24,0.533679070176013,2242,"MESH:D020964"
"Chest Pain",4.2506863527479,6.70433176505468e-19,65,3.59473467000671e-18,0.949697478927539,1,7,1,536,"MESH:D002637"
"Bone Marrow Diseases",2.91649197076117,8.38069817334518e-19,113,4.47110247547965e-18,0.567492035599697,0.0665822774496586,11,0.385037526230686,1332,"MESH:D001855"
"Thyroid Diseases",3.34371262320325,8.51974530944592e-19,89,4.52267076874567e-18,0.53375393159004,0.108285873000928,7,0.481464607375095,963,"MESH:D013959"
"Alopecia",2.97564426056829,1.06911085640263e-18,108,5.64723407812679e-18,0.67070720254458,0.207475080809606,12,0.599936684718687,1250,"MESH:D000505"
"Pericardial Effusion",3.07243317392955,1.16199206128822e-18,102,6.10761344529327e-18,0.874275547661823,0.792128674052289,14,0.993012171958454,1142,"MESH:D010490"
"Mitochondrial Diseases",3.06867761846331,1.21742074511416e-18,102,6.3675879168471e-18,0.806227899990813,0.59816338463198,13,0.8833591412333,1130,"MESH:D028361"
"Learning Disorders",2.30107925412385,1.37423530299976e-18,444,7.15272716244264e-18,0.738565526586328,0.0243817320725543,119,0.286346777230667,9705,"MESH:D007859"
"Encephalomyelitis, Autoimmune, Experimental",3.45768021291343,1.71317331859838e-18,83,8.87357248031299e-18,0.686604574979436,0.358723143190556,8,0.719436795228979,850,"MESH:D004681"
"Demyelinating Diseases",2.86350938946908,2.96644531042384e-18,112,1.52908074696726e-17,0.61898497201274,0.113182825071302,12,0.487511439239412,1374,"MESH:D003711"
"Craniofacial Abnormalities",2.53746905213352,3.50244389909318e-18,145,1.79668636554443e-17,0.969896035435482,1,27,1,1980,"MESH:D019465"
"Pancytopenia",3.11155388514061,4.87642037089646e-18,95,2.48954092619451e-17,0.816787660664687,0.584579999116171,12,0.875792063082724,1029,"MESH:D010198"
"Paralysis",3.53198353377467,5.17266973048406e-18,78,2.62820885829833e-17,0.752449255614693,0.524289401247315,8,0.832221372037485,775,"MESH:D010243"
"Melanoma",2.96703630896156,7.30601225423203e-18,103,3.6945569077088e-17,0.772512832168147,0.439226950613118,13,0.791259039694317,1211,"MESH:D008545"
"Urogenital Abnormalities",2.13201620457243,1.17842549265204e-17,251,5.93103773896099e-17,0.677311762294811,0.0194609822520918,46,0.268237205374665,4459,"MESH:D014564"
"Neovascularization, Pathologic",3.20645428566887,1.22389941730053e-17,88,6.13098909981065e-17,0.677691111286088,0.312057521602869,9,0.695774503282746,955,"MESH:D009389"
"Reperfusion Injury",3.20169949639476,1.32492766536735e-17,88,6.6060645745185e-17,1.00121713658408,1,13,1,959,"MESH:D015427"
"Infertility, Female",2.09929908605461,2.64403493228887e-17,259,1.31217919662894e-16,0.795997221245314,0.159254532442988,55,0.540961688292415,4674,"MESH:D007247"
"Cerebral Infarction",3.27449649857722,2.84568690886498e-17,83,1.40571663507358e-16,0.739999869473787,0.454453909630921,9,0.791259039694317,889,"MESH:D002544"
"Hypokalemia",3.60475750193882,3.00096178385125e-17,72,1.47558812136833e-16,0.730828650415924,0.504059181548381,7,0.818537359811166,709,"MESH:D007008"
"Central Nervous System Diseases",3.1365077031494,3.95708956457132e-17,88,1.93679567220073e-16,0.901656594404478,0.886068322040178,12,1,957,"MESH:D002493"
"Carcinoma, Transitional Cell",4.51685142265728,4.40982453991622e-17,54,2.14853095163955e-16,1.04929728571905,0.83010759096005,6,1,421,"MESH:D002295"
"Nervous System Malformations",2.17021267063842,4.89935700916719e-17,213,2.37618814944609e-16,0.762520812807186,0.124511263858966,40,0.507245395129875,3604,"MESH:D009421"
"Cardiomyopathy, Hypertrophic",3.83260797226015,6.02048715396349e-17,65,2.90672388836156e-16,0.611159025892854,0.36311184473581,5,0.719436795228979,591,"MESH:D002312"
"Delirium",3.97825320979932,6.05649853084846e-17,62,2.91093870829518e-16,0.804753709764686,0.849097701233129,6,1,550,"MESH:D003693"
"Psychoses, Substance-Induced",4.78716127519626,7.38279245950669e-17,50,3.53248410506441e-16,0.586814132541095,0.494805440643827,3,0.815259295710634,371,"MESH:D011605"
"Psychomotor Disorders",3.61084072959096,1.1313965207965e-16,69,5.38928610575834e-16,1.00090054143277,1,9,1,637,"MESH:D011596"
"Pregnancy Complications",3.05629444876754,1.54697478713776e-16,88,7.33609821278216e-16,0.959726327898447,1,13,1,983,"MESH:D011248"
"Non-alcoholic Fatty Liver Disease",2.24228112267241,1.74633384375785e-16,178,8.24485934198947e-16,0.879065822550382,0.534789052782917,35,0.837633611082335,2750,"MESH:D065626"
"Blood Coagulation Disorders",2.21244124201585,2.04111229021513e-16,185,9.55816102515546e-16,0.764528258697231,0.165274826341933,33,0.540961688292415,2876,"MESH:D001778"
"Optic Nerve Diseases",4.07654049410484,2.0424186632947e-16,58,9.55816102515546e-16,0.886109907658331,1,6,1,481,"MESH:D009901"
"Mental Disorders",2.44730600331831,2.30656173085345e-16,137,1.07319867088092e-15,0.842426720532883,0.532724297835745,23,0.835982911404481,1938,"MESH:D001523"
"Pleural Effusion",3.75735297897414,2.31336170855306e-16,64,1.07319867088092e-15,0.867068683155878,0.856727354662725,7,1,611,"MESH:D010996"
"Catalepsy",3.35137759796971,2.38268192633477e-16,75,1.10057212787844e-15,0.653249824568086,0.337819654397333,7,0.712696056598455,779,"MESH:D002375"
"Ventricular Dysfunction, Left",3.47690096832554,2.46901015048027e-16,71,1.1355318235183e-15,1.15914435160816,0.615523061245187,11,0.894617876361634,709,"MESH:D018487"
"Aneuploidy",3.52792406969504,3.16929974527334e-16,69,1.45134885330758e-15,1.09625559644824,0.732909755662861,10,0.960564766930565,703,"MESH:D000782"
"Liver Diseases",2.11252174357369,3.79467512275604e-16,424,1.73030698973534e-15,0.748995245989201,0.0357800221225341,114,0.305052353560162,9313,"MESH:D008107"
"Rhabdomyolysis",3.54408936518188,4.09800569895157e-16,68,1.86066897054524e-15,0.654466393909836,0.390392328900734,6,0.745876338855281,661,"MESH:D012206"
"Paresthesia",2.80476179334849,5.00805697172364e-16,99,2.26423592746997e-15,0.964312639577684,1,16,1,1214,"MESH:D010292"
"Ventricular Fibrillation",4.09755048707915,5.16049430481225e-16,56,2.32331114904417e-15,0.925713363316517,1,6,1,476,"MESH:D014693"
"Respiratory Insufficiency",3.63433605160393,9.18846938829128e-16,64,4.11936841903647e-15,0.84195098263337,0.857312645870252,7,1,593,"MESH:D012131"
"Hearing Disorders",4.20866107876934,1.08112523202256e-15,53,4.80650259403363e-15,1.00753323492705,0.835856072592911,6,1,442,"MESH:D006311"
"Leiomyoma",4.20866107876934,1.08112523202256e-15,53,4.80650259403363e-15,1.00753323492705,0.835856072592911,6,1,422,"MESH:D007889"
"Muscular Diseases",2.48055001485956,1.17231714117495e-15,125,5.19030037192393e-15,0.599679256225935,0.0622774254914372,15,0.382530185282177,1744,"MESH:D009135"
"Muscle Cramp",4.26020660750245,1.26322348530797e-15,52,5.56966718522148e-15,0.860291220821645,1,5,1,423,"MESH:D009120"
"Hearing Loss, Sensorineural",3.50883311883422,1.57170754811156e-15,66,6.901283760638e-15,0.671029109522093,0.484255937139081,6,0.814493379901805,636,"MESH:D006319"
"Panic Disorder",5.25372818767487,2.31041664848579e-15,41,1.01033383767801e-14,1.05973484966886,0.792488553195381,4,0.993012171958454,281,"MESH:D016584"
"Hyperemia",3.62523832582223,2.65667842774713e-15,62,1.15701056424743e-14,1.40564643584689,0.271986437804636,11,0.642321894198678,591,"MESH:D006940"
"Bipolar Disorder",4.45674859689046,3.1341708925133e-15,48,1.35941477329743e-14,0.577195681501072,0.495859039591837,3,0.815259295710634,380,"MESH:D001714"
"Bronchial Hyperreactivity",3.6808578145076,3.86947867962981e-15,60,1.67155212597774e-14,0.512785034933587,0.260027052051359,4,0.640947546506221,570,"MESH:D016535"
"Pulmonary Embolism",3.39822607494347,3.89842078502597e-15,67,1.67726410388013e-14,0.641053425359192,0.392329150425692,6,0.745876338855281,669,"MESH:D011655"
"Brain Ischemia",3.20221814213372,4.31787760554122e-15,73,1.85027124703313e-14,0.842066666087266,0.75091646722473,9,0.96526104507568,790,"MESH:D002545"
"Respiration Disorders",4.10805085317148,4.56061360367895e-15,52,1.94646988605017e-14,0.66191149003707,0.532147744391709,4,0.835982911404481,455,"MESH:D012120"
"Hypokinesia",3.45659856803592,4.62196154127754e-15,65,1.96479400977814e-14,0.557758538965043,0.225511331997051,5,0.626977744816018,620,"MESH:D018476"
"Myositis",3.28023007435875,7.52657192607345e-15,69,3.18684612901602e-14,0.81099073475718,0.740159393169254,8,0.960929070880649,729,"MESH:D009220"
"Urinary Retention",4.79427872076546,8.30435371820657e-15,43,3.50227091593929e-14,1.1738508518686,0.621769545501653,5,0.898957017709558,328,"MESH:D016055"
"Cholestasis, Intrahepatic",2.89227324394873,8.38755387750596e-15,86,3.52343306586569e-14,0.937781380660216,1,13,1,1033,"MESH:D002780"
"Hypertrophy",2.09271266579531,8.44177498172052e-15,444,3.53230349235129e-14,0.649131981058201,0.00147390914419022,117,0.130830051286822,10122,"MESH:D006984"
"Cocaine-Related Disorders",3.51556084032104,9.08199135613327e-15,62,3.78534561601336e-14,1.23472151833121,0.471984911419491,10,0.799859675704753,604,"MESH:D019970"
"Musculoskeletal Diseases",4.77236511758102,9.53738432637556e-15,43,3.95968446546409e-14,0.689899455128525,0.803595508845481,3,0.994870487747324,280,"MESH:D009140"
"Edema, Cardiac",4.2185760568724,1.05182170263619e-14,49,4.34997580121246e-14,0.356182667778014,0.184643597661002,2,0.57622737836094,386,"MESH:D004489"
"Hyperprolactinemia",3.82174576160308,1.17587324930629e-14,55,4.84423458304947e-14,0.735104548153469,0.69100872227647,5,0.940441411142832,499,"MESH:D006966"
"Mucositis",3.33402305464378,1.32980806890968e-14,66,5.45732772894859e-14,0.641053425359192,0.392329150425692,6,0.745876338855281,654,"MESH:D052016"
"Acute Lung Injury",3.58479307306918,1.73057678285905e-14,59,7.07481006632414e-14,0.911623511076791,1,7,1,575,"MESH:D055371"
"Leukocytosis",3.78850519156827,2.7056662205094e-14,54,1.10188773178761e-13,1.05714766385952,0.841359184458982,7,1,486,"MESH:D007964"
"Fatty Liver",2.23197365460692,2.75438802204221e-14,482,1.11746464620496e-13,0.678515695006601,0.00552598639282941,139,0.185619349518824,11464,"MESH:D005234"
"Amnesia",4.69579444822388,3.04359314179466e-14,42,1.23011889480868e-13,0.698045375557839,0.802936161631778,3,0.994870487747324,323,"MESH:D000647"
"Recurrence",4.22589145073056,3.26109349433208e-14,47,1.31305160696314e-13,1.15486315641574,0.653502789745207,6,0.918556408205986,381,"MESH:D012008"
"Heart Arrest",4.56332157692183,3.66149303053888e-14,43,1.46872671563345e-13,1.36135043329886,0.461789307620554,6,0.791978171174362,346,"MESH:D006323"
"Hypersensitivity, Delayed",5.00585951937705,3.9985556730237e-14,39,1.59792468281509e-13,0.527501812266416,0.593419965667036,2,0.879033042089464,273,"MESH:D006968"
"Hyperammonemia",3.45360480161573,4.53051379668015e-14,60,1.80375306755885e-13,0.995452863998834,1,8,1,557,"MESH:D022124"
"Prenatal Exposure Delayed Effects",2.43770410470106,5.11257385402022e-14,510,2.02792427592549e-13,0.661458777525649,0.00472837677180115,154,0.185619349518824,12642,"MESH:D011297"
"Postoperative Complications",3.30831439107184,6.47857386388042e-14,63,2.56023641213348e-13,1.02637227203517,0.862138001131678,9,1,652,"MESH:D011183"
"Lymphoma",2.68035886962244,7.93245897356201e-14,90,3.12322277667552e-13,0.897301001975853,0.791227953993631,14,0.993012171958454,1131,"MESH:D008223"
"Microcephaly",2.62068574672766,1.06381595411897e-13,93,4.17313096707698e-13,0.844928052158407,0.696789683299149,14,0.943117951044838,1153,"MESH:D008831"
"Vascular Malformations",3.4138340376196,1.10030112955253e-13,59,4.30044434151117e-13,0.48880978532048,0.199560313200409,4,0.596496308502395,539,"MESH:D054079"
"Angioedema",3.49391995382071,1.15590965259265e-13,57,4.50129780772393e-13,1.06556988104761,0.850535634712874,8,1,590,"MESH:D000799"
"Sleep Initiation and Maintenance Disorders",3.73151538267752,1.28102444874119e-13,52,4.97037486111581e-13,0.925713363316517,1,6,1,481,"MESH:D007319"
"Neurodegenerative Diseases",2.72745223999904,1.37868373788863e-13,85,5.32991140698251e-13,0.753480334708156,0.489328391730052,11,0.814493379901805,989,"MESH:D019636"
"Splenomegaly",2.8138125989652,1.53712394200622e-13,80,5.92097922787234e-13,0.673168859285484,0.312584153984303,9,0.695774503282746,949,"MESH:D013163"
"Mood Disorders",3.62671378064798,2.05565861047507e-13,53,7.8898839473989e-13,0.883882556522198,1,6,1,491,"MESH:D019964"
"Consciousness Disorders",4.58250661221135,2.32037728917775e-13,40,8.87398769732138e-13,0.96918596796032,1,4,1,311,"MESH:D003244"
"Dermatitis",3.56102581172295,2.3936286920021e-13,54,9.12143505130799e-13,0.85172994565975,0.847403498315961,6,1,518,"MESH:D003872"
"Respiratory Tract Diseases",3.34185447044965,2.43725292280549e-13,59,9.25462230830411e-13,0.479621977698114,0.202130672391735,4,0.596496308502395,647,"MESH:D012140"
"Intracranial Hemorrhages",2.96804910021847,2.46993307660986e-13,71,9.34545600263374e-13,1.00425299989429,1,11,1,771,"MESH:D020300"
"Hyperbilirubinemia",3.11474984181607,3.13299278389664e-13,65,1.18123791534195e-12,0.828495200944739,0.739199093258875,8,0.960929070880649,706,"MESH:D006932"
"Epilepsy, Tonic-Clonic",3.34952708527522,3.45694202248391e-13,58,1.29878772464448e-12,1.1395574613861,0.7135407823758,9,0.95795166724803,578,"MESH:D004830"
"Lupus Erythematosus, Systemic",3.56623451617681,3.67072445450349e-13,53,1.37426771682639e-12,0.870743300609511,1,6,1,525,"MESH:D008180"
"Paresis",4.03099015283992,4.55510058173297e-13,45,1.69940290933884e-12,1.16239119206517,0.651919643471788,6,0.918556408205986,380,"MESH:D010291"
"Diabetes Mellitus, Type 2",2.75312869731727,4.94896933095887e-13,79,1.83991298819969e-12,1.3270346259549,0.251013879003202,17,0.637659384913538,994,"MESH:D003924"
"Epilepsy",3.68286334488042,5.42957741431221e-13,50,2.01158302120525e-12,1.12319633956235,0.682130676892409,7,0.932994093379032,451,"MESH:D004827"
"Growth Disorders",2.32148756123078,5.71610403425169e-13,114,2.11040934413375e-12,0.726125548270178,0.26303647332528,17,0.640947546506221,1666,"MESH:D006130"
"Purpura",4.00842831112358,9.49251547984764e-13,44,3.49259104034394e-12,0.579094630961939,0.495602725656858,3,0.815259295710634,366,"MESH:D011693"
"Pre-Eclampsia",4.07942674279115,1.00247925852455e-12,43,3.67575728125669e-12,0.602872728825369,0.494338121207038,3,0.815259295710634,376,"MESH:D011225"
"Anxiety Disorders",2.04906076992611,1.02004591176045e-12,162,3.72735954742601e-12,0.769475325172719,0.20638294416398,30,0.59887261341618,2775,"MESH:D001008"
"Hyperplasia",2.11965650581205,1.18113803711048e-12,482,4.30127742524532e-12,0.56581051860319,4.55999291753141e-05,132,0.0188555707139924,11806,"MESH:D006965"
"Attention Deficit Disorder with Hyperactivity",4.74596568890346,1.35539288750377e-12,36,4.91906194206302e-12,0.831841166152355,1,3,1,265,"MESH:D001289"
"Fetal Diseases",4.66933258972305,2.04607423982812e-12,36,7.40054648778508e-12,0.820368009699052,1,3,1,266,"MESH:D005315"
"Colorectal Neoplasms",2.79601313008569,2.11811743756578e-12,73,7.63524089825232e-12,0.920837847993583,1,11,1,881,"MESH:D015179"
"Vasospasm, Intracranial",4.2214042655175,2.24140997054599e-12,40,8.05247285714669e-12,0.902890714595689,1,4,1,323,"MESH:D020301"
"Urination Disorders",4.51518439042359,2.47111223517179e-12,37,8.8479085735849e-12,1.04122008105339,0.79545815481476,4,0.994870487747324,290,"MESH:D014555"
"Atrial Fibrillation",3.67774181175046,2.57523897884172e-12,47,9.18989963352546e-12,1.02206880252484,0.833675749339376,6,1,440,"MESH:D001281"
"Carcinoma, Non-Small-Cell Lung",3.2216506847971,3.24574634258548e-12,56,1.1544037825129e-11,0.747799105319297,0.587008447542122,6,0.875792063082724,586,"MESH:D002289"
"Glycosuria",3.37938639030635,3.57932412415414e-12,52,1.26881689052242e-11,0.847613588987705,0.847418070794431,6,1,545,"MESH:D006029"
"Inflammation",2.21057897666811,4.05562049667174e-12,501,1.43289638077773e-11,0.804175214750287,0.141561404398601,161,0.52712565715411,12496,"MESH:D007249"
"Sepsis",3.27455198803615,4.29408746201444e-12,54,1.51214235048495e-11,0.654049877386633,0.453938315481917,5,0.791259039694317,566,"MESH:D018805"
"Respiratory Distress Syndrome, Adult",4.27650771260027,5.36083047446782e-12,38,1.88158095929512e-11,0.965253470925817,1,4,1,309,"MESH:D012128"
"Azotemia",2.93145892165671,6.77227206433761e-12,63,2.36918501398303e-11,1.25009491646907,0.40934576593718,12,0.769383973704655,728,"MESH:D053099"
"Asthenozoospermia",4.21725457588151,7.71233335893695e-12,38,2.68923519411298e-11,1.20222066977365,0.615188964859034,5,0.894617876361634,305,"MESH:D053627"
"Personality Disorders",4.53119038720947,8.39784386409675e-12,35,2.91872944722842e-11,0.82415763048077,1,3,1,268,"MESH:D010554"
"Hemolytic-Uremic Syndrome",4.29708533665508,8.78166958338327e-12,37,3.04222124852921e-11,1.25788565684336,0.60472226093906,5,0.885765640808154,290,"MESH:D006463"
"Developmental Disabilities",3.90610615568885,1.05976028312919e-11,41,3.65943113947845e-11,1.03504689213079,0.8167694280273,5,1,342,"MESH:D002658"
"Cryptorchidism",4.74186960955684,1.09899731313987e-11,33,3.78267784877497e-11,1.22840574028203,0.572774953201028,4,0.86416169677436,237,"MESH:D003456"
"Parkinson Disease",3.29920584306608,1.21584937481445e-11,51,4.17141891616405e-11,0.701472381747866,0.562456918291506,5,0.855058587182124,517,"MESH:D010300"
"Angina Pectoris",3.74053240679498,1.22042580217104e-11,43,4.17369977857851e-11,0.945808734386116,1,5,1,394,"MESH:D000787"
"Bone Diseases",3.28152084509927,1.44491412402742e-11,51,4.92563377104556e-11,0.84353560891979,0.847456488573148,6,1,537,"MESH:D001847"
"Dystonia",4.97471286075311,1.54519337824962e-11,31,5.25070488723677e-11,0.670533543795645,1,2,1,220,"MESH:D004421"
"Syncope",4.19560144604368,1.61123318101132e-11,37,5.45773271155262e-11,0.726615986825689,0.80151401076603,3,0.994870487747324,305,"MESH:D013575"
"Rhabdomyosarcoma",3.03108103342818,1.81372523735066e-11,57,6.124192494472e-11,0.814910539170012,0.725480430479868,7,0.958347289097861,613,"MESH:D012208"
"Sinus Thrombosis, Intracranial",3.20593098491492,2.00737968954252e-11,52,6.75670072158319e-11,0.396089043132513,0.126726901500643,3,0.511234866053813,536,"MESH:D012851"
"Conjunctivitis",4.25557072223377,2.07654822493053e-11,36,6.96753759748703e-11,0.75757729154933,1,3,1,290,"MESH:D003231"
"Myelodysplastic Syndromes",3.64734188074685,2.48125145901886e-11,43,8.2993583284424e-11,1.51454475525458,0.264081700454608,8,0.640947546506221,386,"MESH:D009190"
"Ventricular Premature Complexes",3.57481165283835,2.67444131980082e-11,44,8.91759027571087e-11,0.886178821057848,1,5,1,410,"MESH:D018879"
"Porphyria Cutanea Tarda",3.40121141680062,2.79265984523171e-11,47,9.28276652605058e-11,0.953222153078662,1,6,1,474,"MESH:D017119"
"Granuloma",4.2991871187412,3.00453439863126e-11,35,9.95601926502967e-11,1.33650015823284,0.43289903992421,5,0.791259039694317,301,"MESH:D006099"
"Ascites",3.01228219970537,3.2669218625951e-11,56,1.07919678866532e-10,0.826531993588989,0.858171060776292,7,1,644,"MESH:D001201"
"Coronary Disease",3.97818701846046,3.48577832072497e-11,38,1.14793995932517e-10,0.906339302376544,1,4,1,350,"MESH:D003327"
"Lethargy",3.88665890227886,3.64522984827466e-11,39,1.19675699941817e-10,1.78426603051033,0.144884450915587,8,0.532530848476403,350,"MESH:D053609"
"Myoclonus",4.04272577128733,4.10804526690666e-11,37,1.34456573613172e-10,0.946051782497513,1,4,1,319,"MESH:D009207"
"Conduct Disorder",5.0778429204412,4.34607679540182e-11,29,1.41812352926414e-10,1.11012770641308,0.75380792515661,3,0.966510316441111,191,"MESH:D019955"
"Albuminuria",2.97220993834443,5.13442349239398e-11,56,1.67025300804402e-10,1.06378364069348,0.858941767554893,9,1,650,"MESH:D000419"
"Mercury Poisoning",4.42361302522444,5.45552289197233e-11,33,1.76931395918981e-10,0.281391315373704,0.27022202478312,1,0.642321894198678,256,"MESH:D008630"
"Emphysema",3.67223436447556,5.6769688717211e-11,41,1.83555326852315e-10,0.778139316967835,0.821311220330971,4,1,378,"MESH:D004646"
"Brain Neoplasms",3.72999929216457,6.3038443070678e-11,40,2.03208515880403e-10,1.45202408439349,0.348817877936966,7,0.719436795228979,361,"MESH:D001932"
"Tinnitus",3.58135527854018,6.80108236126183e-11,42,2.18001198999443e-10,1.12924914714147,0.659440658794423,6,0.918556408205986,415,"MESH:D014012"
"Fetal Resorption",4.50857881936425,6.80359880663679e-11,32,2.18001198999443e-10,0.596539785288245,0.77629669034552,2,0.986171064386706,241,"MESH:D005327"
"Necrosis",2.3999717404779,6.88703562197685e-11,527,2.20013982294889e-10,0.653410076811954,0.00728250407259011,169,0.218792782077329,13552,"MESH:D009336"
"Vasculitis, Leukocytoclastic, Cutaneous",2.8744231935856,7.77694772215849e-11,59,2.47701588643078e-10,0.859333143223958,0.864912378228538,8,1,693,"MESH:D018366"
"Ocular Motility Disorders",4.35052109476969,7.98438369055043e-11,33,2.53551708268372e-10,0.847639058834482,1,3,1,262,"MESH:D015835"
"Tachycardia, Supraventricular",4.23379380588646,8.02060696203229e-11,34,2.53946220429925e-10,1.07883955987954,0.789667585440891,4,0.993012171958454,269,"MESH:D013617"
"Obesity",2.93963843975292,1.06621222186444e-10,55,3.36582378914012e-10,0.948915372436362,1,8,1,654,"MESH:D009765"
"Anuria",4.40501571473859,1.14224583065698e-10,32,3.59521032835104e-10,0.885438236171585,1,3,1,263,"MESH:D001002"
"Gonadal Disorders",3.71680305899234,1.16552212522331e-10,39,3.65768266945081e-10,0.617645774014117,0.637091287886073,3,0.910468382857177,370,"MESH:D006058"
"Uterine Diseases",3.03408877581035,1.17167875006574e-10,52,3.66423001849017e-10,0.636775841618104,0.456385201855126,5,0.791259039694317,569,"MESH:D014591"
"Erythema",2.76306713745111,1.17447672570163e-10,61,3.66423001849017e-10,1.01059944240732,0.870494806383542,10,1,738,"MESH:D004890"
"Hypertrophy, Left Ventricular",3.33477496394784,1.22767671824985e-10,45,3.81904098650902e-10,0.812702311219262,0.83604809725793,5,1,457,"MESH:D017379"
"Intestinal Diseases",2.95329208292927,1.31762051024855e-10,54,4.08692175707909e-10,1.36445772218946,0.283179173528257,11,0.654159710915835,605,"MESH:D007410"
"Stevens-Johnson Syndrome",3.24423891203463,1.74991737935117e-10,46,5.39926914518464e-10,0.935536111501108,1,6,1,470,"MESH:D013262"
"Gastrointestinal Hemorrhage",3.65780313132425,1.75084079122201e-10,39,5.39926914518464e-10,1.69044536187574,0.157434425917649,8,0.540961688292415,383,"MESH:D006471"
"Cerebellar Diseases",3.09938559885672,1.9552040525845e-10,49,6.01211159685206e-10,1.28267602993945,0.439137758374616,9,0.791259039694317,508,"MESH:D002526"
"Hydronephrosis",3.09120253566338,2.11743230343367e-10,49,6.49224214874633e-10,1.12952713487278,0.699047498236613,8,0.944073375703238,514,"MESH:D006869"
"Limb Deformities, Congenital",3.68743069671298,2.38476197659696e-10,38,7.29094850724629e-10,1.29268177172401,0.477127942351786,6,0.805275119030463,349,"MESH:D017880"
